sample_id,reads,notes
SimonsL2_1628F,14,
SimonsL2_1647M,2,
SimonsL2_1652AA,18,
SimonsL2_1652O,3138,
SimonsL2_1652Z,3,
SimonsL2_1659G,6,
SimonsL2_1664A,9,
SimonsL2_1669B,13,
SimonsL2_1675H,3,
SimonsL2_1682C2,8,
SimonsL2_1683J,21,
SimonsL2_1685J,8,
SimonsL2_1707C,1,
SimonsL2_1753C,5,
SimonsL2_1763H,6,
SimonsL2_1764E,5,
SimonsL2_1765E,5,
SimonsL2_1772A,99,
SimonsL2_1774C,1,
SimonsL2_1774I,2,
SimonsL2_1774N,4521,
SimonsL2_1774Q,4,
SimonsL2_1775GG,5,
SimonsL2_1778A,3918,
SimonsL2_1796E,5,
SimonsL2_1799F,14,
SimonsL2_179A,17,
SimonsL2_1827B,9,
SimonsL2_1827I,10,
SimonsL2_1836O,10,
SimonsL2_1836T,6373,
SimonsL2_1840A,2,
SimonsL2_1867H,997,
SimonsL2_1869C,2,
SimonsL2_1900G,1,
SimonsL2_1902N,12,
SimonsL2_1905C,75,
SimonsL2_1905G,43,
SimonsL2_1905R,5703,
SimonsL2_1905Y,17,
SimonsL2_1909A,1,
SimonsL2_1909J,4,
SimonsL2_1910A,20,
SimonsL2_1915A,10647,
SimonsL2_1915H,3,
SimonsL2_1939B,9,
SimonsL2_2075E,1540,
SimonsL2_24A,4727,
SimonsL2_27A,3548,
SimonsL2_42A,15149,
SimonsL2_830I,5,
SimonsL2_832H,12206,
SimonsL2_834C,22104,
SimonsL2_940A,26974,
SimonsL2_992A,7,
SimonsL3_1000A,3,
SimonsL3_1011A,26,
SimonsL3_1074E,9,
SimonsL3_1229D,5280,
SimonsL3_1281G,62,
SimonsL3_1327H,28,
SimonsL3_1395F,21,
SimonsL3_1397G,13,
SimonsL3_1397I,3770,
SimonsL3_1397J,44,
SimonsL3_1397N,7,
SimonsL3_1398C,2,
SimonsL3_1399W,663,
SimonsL3_1419J,1,Removed from Further Analyses
SimonsL3_1421G,5,
SimonsL3_1425A,9,
SimonsL3_1514Q5,16,
SimonsL3_1517A,13,
SimonsL3_1519C,1,Removed from Further Analyses
SimonsL3_1527B,6108,
SimonsL3_1541J,892,
SimonsL3_1546F,28,
SimonsL3_1549A,3,Removed from Further Analyses
SimonsL3_1573G,6,
SimonsL3_1582Z,11,
SimonsL3_1586B,2,
SimonsL3_1626B,3,
SimonsL3_1628B,4,
SimonsL3_1637C,19,
SimonsL3_1652J,2294,
SimonsL3_1652L,3,
SimonsL3_1654D,3,
SimonsL3_1655B,7,
SimonsL3_1693E,3,
SimonsL3_170A,5,
SimonsL3_174A,1,
SimonsL3_1763K,1,Removed from Further Analyses
SimonsL3_1763L,31,
SimonsL3_1765C,2338,
SimonsL3_1769F,12,
SimonsL3_1769G,15,
SimonsL3_1770C2,5,
SimonsL3_1770C3,4062,
SimonsL3_1774JJ,7087,
SimonsL3_1774MM,2,
SimonsL3_1774OO,1,
SimonsL3_1774PP,33,
SimonsL3_1775A,32,
SimonsL3_1777B,42,
SimonsL3_1784A,1,Removed from Further Analyses
SimonsL3_1784G,11558,
SimonsL3_1805B,38,
SimonsL3_1840U,3,
SimonsL3_1843N,1558,
SimonsL3_1870G,1,
SimonsL3_1904C,21,
SimonsL3_1905M,4,
SimonsL3_1906A,8608,
SimonsL3_1907A,9,
SimonsL3_1931A,3852,
SimonsL3_1931B,5242,
SimonsL3_1933A,3337,
SimonsL3_1944J,32,
SimonsL3_2075M,3752,
SimonsL3_2107A,3366,
SimonsL3_260B,23,
SimonsL3_522A,3,
SimonsL3_58A,1241,
SimonsL3_743A,5100,
SimonsL3_766A,4469,
SimonsL3_773B,2635,
SimonsL3_870A,8702,
SimonsL3_896A,10848,
SimonsL3_945A,81,
SimonsL4_1049B,8611,
